<<<<<<< HEAD
"","CBO","LCOM","AFF","EFF"
"5.2.0",NA,NA,NA,NA
"5.3.0",0.894320912224049,0.792353804512067,0.813564883772156,0.223786442775222
"5.4.1",0.905294016333326,0.843171065916452,0.71779184945455,0.58786724492632
"6.0.1",1,0.939742989577073,0.957552527394274,0.876477708128257
"7.0.6",0.0163487960458783,0.41582415765585,0.20365070214188,0.00424144978298734
"7.0.7",1,0.938400336856374,0.776633560329928,0.96896235407701
"7.0.8",0.952973967841186,0.419075986902823,0.58351981270943,0.968791265135707
"7.0.9",0.924834120666812,1,0.971207117516838,0.807329175571227
"7.1.0",0.708073299419236,0.837806505471416,0.0817580162208863,0.803887728607728
"7.3.0",0.570812994287594,0.312521957329353,0.818207147751166,0.922345665796513
"7.3.1",0.95517567708101,0.968808689411697,0.995329234119378,0.962363893182335
"7.4.1",0.165009994835268,0.997503450775486,0.393289101378166,0.214012697648495
"7.5.1",0.884386878962328,0.758741399812316,0.874368552889452,0.810190436104562
"7.6.0",0.915014241897955,0.875302938203935,0.982379840171307,0.973466075311579
=======
"","CBO","AFF","EFF","LCOM"
"5.2.0",NA,NA,NA,NA
"5.3.0",0.894,0.814,0.224,0.792
"5.4.1",0.905,0.718,0.588,0.843
"6.0.1",1,0.958,0.876,0.94
"7.0.6",0.016,0.204,0.004,0.416
"7.0.7",1,0.777,0.969,0.938
"7.0.8",0.953,0.584,0.969,0.419
"7.0.9",0.925,0.971,0.807,1
"7.1.0",0.708,0.082,0.804,0.838
"7.3.0",0.571,0.818,0.922,0.313
"7.3.1",0.955,0.995,0.962,0.969
"7.4.1",0.165,0.393,0.214,0.998
"7.5.1",0.884,0.874,0.81,0.759
"7.6.0",0.915,0.982,0.973,0.875
>>>>>>> 819fecd63e7653d563f2388e8978f6f81e84ca45
