"","Packages","Classes","Attrs","Meths","PMeths","dependencyCount"
"2.3.2",2,23,39,91,64,52
"2.3.3",2,23,39,91,64,52
"2.3.4",2,23,39,91,64,52
"2.3.5",2,23,39,90,64,52
"2.3.6",2,23,39,90,64,52
"2.3.7",2,23,39,90,64,52
"2.3.f",2,23,39,90,64,52
"2.4.1",2,23,39,90,64,52
"2.4.2",2,23,39,90,64,52
"2.4.f",2,23,39,90,64,52
"2.5.1",2,29,51,131,77,64
"2.5.f",2,29,51,130,77,64
"2.6.f",2,28,50,129,77,64
"3.0.0",14,415,654,3406,2002,1952
"3.0.1",14,417,658,3436,2023,1962
"3.0.2",14,417,658,3436,2023,1962
"3.1.0",14,440,700,3555,2094,2035
"3.2.0",16,508,828,4098,2368,2420
"3.2.1",16,508,828,4100,2370,2422
"3.2.2",16,508,825,4102,2371,2425
"4.0.0",19,606,1003,4823,2821,2899
"4.0.2",19,606,1003,4825,2821,2899
"4.0.3",19,606,1003,4825,2822,2899
"4.1.0",20,644,477,5014,2990,3197
"4.2.0",23,805,1425,6110,3630,4151
"4.3.0",29,1132,2263,7990,4936,5891
"4.3.1",29,1132,2263,7992,4938,5892
"4.3.2",29,1132,2263,7998,4939,5888
"4.3.3",29,1132,2263,7999,4940,5888
"4.4.1",29,1193,2417,8186,5081,6159
"4.4.2",29,1194,2420,8193,5084,6167
"4.5.0",30,1216,2440,8271,5098,6299
"4.5.1",30,1218,2444,8294,5114,6305
"4.5.2",30,1220,2448,8304,5117,6315
"5.0.0",34,1267,2555,8638,5279,6497
"5.1.0",35,1266,2541,8686,5298,6519
"5.2.0",35,1277,2569,8771,5360,6586
"5.3.0",35,1289,2601,8843,5395,6710
"5.4.0",35,1355,2776,9206,5618,7015
"5.5.0",35,1366,2804,9277,5668,7074
